preco;quartos;banheiros;vagas garagem;rua/avenida;custo condominio;iptu;bairro;cidade;estado;cep;armários na cozinha;academia;piscina;varanda;portaria;quarto de serviço;área de serviço;condomínio fechado;permitido animais;churrasqueira;elevador;mobiliado;armários no quarto;ar condicionado;segurança 24h;salão de festas;area util por m²
3800000.0;1;2;1;Rua dos Tucanos;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655738;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;90.0
4600000.0;2;1;1;Avenida Tancredo Neves;400.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;66.0
4600000.0;2;1;1;Avenida Tancredo Neves;400.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;66.0
3599900.0;2;1;1;Avenida Lomanto Júnior;-1;-1;Pontal;Ilhéus;BA;45654000;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;58.0
3900000.0;2;2;1;Rua Manoel Fontes Nabuco;290.0;2500.0;Boa Vista;Ilhéus;BA;45652495;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;82.0
4200000.0;2;2;1;Rua dos Tangarás;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655752;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;57.0
5500000.0;2;2;1;Rua Praia Dourada;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655764;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;73.0
12000000.0;2;2;2;Rua Helenílson Chaves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655044;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;84.0
6000000.0;3;3;2;Avenida Vereador Marcus Paiva;1100.0;1000.0;Cidade Nova;Ilhéus;BA;45652050;1;0;0;1;0;1;1;0;0;0;0;1;1;1;0;0;140.0
11000000.0;3;2;2;Ilhéus;300.0;1300.0;Sem informação;Sem informação;Sem informação;Sem informação;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;90000.0
4000000.0;2;3;1;Avenida Lomanto Júnior;500.0;0.0;Pontal;Ilhéus;BA;45654000;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;60.0
250000000.0;2;1;1;Avenida Lomanto Júnior;-1;-1;Pontal;Ilhéus;BA;45654001;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;80.0
3599900.0;2;2;1;Avenida Tancredo Neves;200.0;100.0;São Francisco;Ilhéus;BA;45655120;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;59.0
2200000.0;2;2;1;Avenida Raymundo Sá Barreto;0.0;0.0;Jardim Savóia;Ilhéus;BA;45658250;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;65.0
2300000.0;3;3;0;Avenida Nossa Senhora Aparecida;0.0;0.0;São Francisco;Ilhéus;BA;45655100;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;100.0
6500000.0;3;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;82.0
4300000.0;3;2;0;Rua Sete de Setembro;0.0;0.0;Centro;Ilhéus;BA;45653555;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;242.0
5200000.0;1;1;1;Avenida Lomanto Júnior;0.0;0.0;Pontal;Ilhéus;BA;45654000;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;90.0
14000000.0;3;4;2;Rua Pelicano;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655716;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;112.0
3000000.0;3;2;0;Rua Napoleão Laureano;0.0;0.0;Teresópolis;Ilhéus;BA;45652414;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;108.0
5300000.0;3;3;2;Rua Praia Dourada;400.0;-1;Nossa Senhora da Vitória;Ilhéus;BA;45655764;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;134.0
13000000.0;3;3;2;Avenida José Luís da Fonseca;800.0;-1;Jardim Savóia;Ilhéus;BA;45658260;1;0;0;1;0;1;1;0;0;1;0;1;1;1;0;0;150.0
7500000.0;4;5;2;Avenida Vereador Marcus Paiva;0.0;0.0;Cidade Nova;Ilhéus;BA;45652050;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;149.0
3350000.0;2;2;1;Avenida Oduvaldo Evaristo Bacelar;262.0;600.0;Nossa Senhora da Vitória;Ilhéus;BA;45655700;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;82.0
4300000.0;3;2;1;Avenida Oduvaldo Evaristo Bacelar;400.0;-1;Nossa Senhora da Vitória;Ilhéus;BA;45655700;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;70.0
3650000.0;2;2;1;Avenida Tancredo Neves;-1;-1;Jardim Atlântico;Ilhéus;BA;45655000;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;1;65.0
2800000.0;3;2;0;Avenida Oduvaldo Evaristo Bacelar;0.0;0.0;São Francisco;Ilhéus;BA;45655145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70.0
8500000.0;2;2;1;Avenida Tancredo Neves;-1;-1;Jardim Atlântico;Ilhéus;BA;45655000;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;75.0
4360000.0;2;2;1;Rua dos Tangarás;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655752;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;57.0
3727900.0;2;3;1;Avenida Tancredo Neves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;50.0
16213230.0;3;4;2;Avenida Tancredo Neves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;242.0
1519650.0;1;1;1;Avenida Tancredo Neves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;18.0
9450000.0;2;2;2;Avenida Tancredo Neves;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;98.0
